Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-08-06,12:30,Premier League,Matchweek 1,Sat,Home,D,2.0,2.0,Liverpool,1.2,1.2,33.0,22207.0,Tim Ream,4-2-3-1,Andy Madley,Match Report,
2022-08-13,15:00,Premier League,Matchweek 2,Sat,Away,D,0.0,0.0,Wolves,1.5,0.9,41.0,31178.0,Tim Ream,4-2-3-1,John Brooks,Match Report,
2022-08-20,15:00,Premier League,Matchweek 3,Sat,Home,W,3.0,2.0,Brentford,2.4,1.8,43.0,21798.0,Tim Ream,4-2-3-1,Peter Bankes,Match Report,
2022-08-23,19:45,EFL Cup,Second round,Tue,Away,L,0.0,2.0,Crawley Town,,,67.0,5577.0,Tom Cairney,4-2-3-1,Lee Swabey,Match Report,
2022-08-27,17:30,Premier League,Matchweek 4,Sat,Away,L,1.0,2.0,Arsenal,0.8,2.6,29.0,60164.0,Tim Ream,4-2-3-1,Jarred Gillett,Match Report,
2022-08-30,19:30,Premier League,Matchweek 5,Tue,Home,W,2.0,1.0,Brighton,0.7,1.4,39.0,22224.0,Tim Ream,4-2-3-1,Thomas Bramall,Match Report,
2022-09-03,15:00,Premier League,Matchweek 6,Sat,Away,L,1.0,2.0,Tottenham,0.7,2.9,48.0,61641.0,Tim Ream,4-2-3-1,Stuart Attwell,Match Report,
2022-09-16,20:00,Premier League,Matchweek 8,Fri,Away,W,3.0,2.0,Nott'ham Forest,0.9,1.4,59.0,28654.0,Tim Ream,4-2-3-1,Jarred Gillett,Match Report,
2022-10-01,15:00,Premier League,Matchweek 9,Sat,Home,L,1.0,4.0,Newcastle Utd,0.5,3.3,33.0,22913.0,Tim Ream,4-2-3-1,Darren England,Match Report,
2022-10-09,14:00,Premier League,Matchweek 10,Sun,Away,L,1.0,3.0,West Ham,0.7,2.4,50.0,62407.0,Tim Ream,4-2-3-1,Chris Kavanagh,Match Report,
2022-10-15,15:00,Premier League,Matchweek 11,Sat,Home,D,2.0,2.0,Bournemouth,2.1,1.0,69.0,22541.0,Tim Ream,4-2-3-1,Graham Scott,Match Report,
2022-10-20,19:30,Premier League,Matchweek 12,Thu,Home,W,3.0,0.0,Aston Villa,2.1,1.2,60.0,23508.0,Tim Ream,4-2-3-1,Michael Oliver,Match Report,
2022-10-23,14:00,Premier League,Matchweek 13,Sun,Away,W,3.0,2.0,Leeds United,1.8,1.6,43.0,36447.0,Tim Ream,4-2-3-1,Anthony Taylor,Match Report,
2022-10-29,17:30,Premier League,Matchweek 14,Sat,Home,D,0.0,0.0,Everton,1.9,0.9,56.0,23534.0,Tim Ream,4-2-3-1,John Brooks,Match Report,
2022-11-05,15:00,Premier League,Matchweek 15,Sat,Away,L,1.0,2.0,Manchester City,1.0,2.1,30.0,52395.0,Tim Ream,4-2-3-1,Darren England,Match Report,
2022-11-13,16:30,Premier League,Matchweek 16,Sun,Home,L,1.0,2.0,Manchester Utd,1.4,2.5,53.0,24246.0,Tom Cairney,4-2-3-1,Paul Tierney,Match Report,
2022-12-26,15:00,Premier League,Matchweek 17,Mon,Away,W,3.0,0.0,Crystal Palace,2.5,0.4,64.0,25176.0,Tim Ream,4-2-3-1,Andy Madley,Match Report,
2022-12-31,15:00,Premier League,Matchweek 18,Sat,Home,W,2.0,1.0,Southampton,1.5,0.8,62.0,24344.0,Tim Ream,4-2-3-1,Graham Scott,Match Report,
2023-01-03,19:45,Premier League,Matchweek 19,Tue,Away,W,1.0,0.0,Leicester City,1.7,1.7,39.0,30813.0,Tim Ream,4-2-3-1,Darren Bond,Match Report,
2023-01-07,15:00,FA Cup,Third round proper,Sat,Away,W,2.0,0.0,Hull City,,,59.0,14175.0,Tom Cairney,4-2-3-1,Joshua Smith,Match Report,
2023-01-12,20:00,Premier League,Matchweek 7,Thu,Home,W,2.0,1.0,Chelsea,1.0,2.1,48.0,24460.0,Tim Ream,4-2-3-1,David Coote,Match Report,
2023-01-15,14:00,Premier League,Matchweek 20,Sun,Away,L,0.0,1.0,Newcastle Utd,1.1,2.2,38.0,52247.0,Tim Ream,4-2-3-1,Robert Jones,Match Report,
2023-01-23,20:00,Premier League,Matchweek 21,Mon,Home,L,0.0,1.0,Tottenham,1.0,0.9,54.0,24190.0,Tim Ream,4-2-3-1,Paul Tierney,Match Report,
2023-01-28,15:00,FA Cup,Fourth round proper,Sat,Home,D,1.0,1.0,Sunderland,,,69.0,22905.0,Tom Cairney,4-2-3-1,Michael Salisbury,Match Report,
2023-02-03,20:00,Premier League,Matchweek 22,Fri,Away,D,0.0,0.0,Chelsea,0.6,1.3,34.0,40041.0,Tim Ream,4-2-3-1,Stuart Attwell,Match Report,
2023-02-08,19:45,FA Cup,Fourth round proper,Wed,Away,W,3.0,2.0,Sunderland,,,48.0,29651.0,Tom Cairney,4-2-3-1,Tim Robinson,Match Report,
2023-02-11,15:00,Premier League,Matchweek 23,Sat,Home,W,2.0,0.0,Nott'ham Forest,1.5,0.7,50.0,24244.0,Tim Ream,4-2-3-1,Andy Madley,Match Report,
2023-02-18,15:00,Premier League,Matchweek 24,Sat,Away,W,1.0,0.0,Brighton,0.3,2.2,35.0,31619.0,Tim Ream,4-2-3-1,Darren England,Match Report,
2023-02-24,20:00,Premier League,Matchweek 25,Fri,Home,D,1.0,1.0,Wolves,0.5,0.8,51.0,24399.0,Tim Ream,4-2-3-1,Michael Oliver,Match Report,
2023-02-28,19:45,FA Cup,Fifth round proper,Tue,Home,W,2.0,0.0,Leeds United,,,54.0,19359.0,Tim Ream,4-2-3-1,Chris Kavanagh,Match Report,
2023-03-06,20:00,Premier League,Matchweek 26,Mon,Away,L,2.0,3.0,Brentford,1.4,2.2,63.0,17025.0,Tim Ream,4-2-3-1,Anthony Taylor,Match Report,
2023-03-12,14:00,Premier League,Matchweek 27,Sun,Home,L,0.0,3.0,Arsenal,0.8,2.3,45.0,24426.0,Tim Ream,4-2-3-1,David Coote,Match Report,
2023-03-18,15:00,Premier League,Matchweek 28,Sat,Away,,,,Liverpool,,,,,,,,,Match Postponed
2023-03-19,16:30,FA Cup,Quarter-finals,Sun,Away,,,,Manchester Utd,,,,,,,,Head-to-Head,
2023-04-01,15:00,Premier League,Matchweek 29,Sat,Away,,,,Bournemouth,,,,,,,,Head-to-Head,
2023-04-08,15:00,Premier League,Matchweek 30,Sat,Home,,,,West Ham,,,,,,,,Head-to-Head,
2023-04-15,15:00,Premier League,Matchweek 31,Sat,Away,,,,Everton,,,,,,,,Head-to-Head,
2023-04-22,12:30,Premier League,Matchweek 32,Sat,Home,,,,Leeds United,,,,,,,,Head-to-Head,
2023-04-25,19:45,Premier League,Matchweek 33,Tue,Away,,,,Aston Villa,,,,,,,,Head-to-Head,
2023-04-30,14:00,Premier League,Matchweek 34,Sun,Home,,,,Manchester City,,,,,,,,Head-to-Head,
2023-05-06,15:00,Premier League,Matchweek 35,Sat,Home,,,,Leicester City,,,,,,,,Head-to-Head,
2023-05-13,15:00,Premier League,Matchweek 36,Sat,Away,,,,Southampton,,,,,,,,Head-to-Head,
2023-05-20,15:00,Premier League,Matchweek 37,Sat,Home,,,,Crystal Palace,,,,,,,,Head-to-Head,
2023-05-28,15:00,Premier League,Matchweek 38,Sun,Away,,,,Manchester Utd,,,,,,,,Head-to-Head,
